ActionGeo_Lat,ActionGeo_Long,polriskevents
36.335,43.1189,25
36.3443,44.1515,1
36.3486,42.9152,6
36.3512,43.117,13
36.3519,43.3792,20
36.353,44.7788,0
36.3547,43.1806,0
36.3574,43.2478,6
36.3604,43.135,0
36.3646,44.1365,2
36.3667,43.15,0
36.3689,43.2019,0
36.3692,43.2951,2
36.3724,41.7223,0
36.3766,43.1829,17
36.3791,42.4481,496
36.3816,44.2008,4
36.3874,43.1984,4
36.3884,43.078,24
36.3897,45.0779,7
36.3995,44.338,0
36.4033,44.091,1
36.4039,42.9789,2
36.4076,42.8927,10
36.4096,43.0873,2
36.4229,42.9816,33
36.4263,42.9636,680
36.4277,42.5989,16
36.4355,44.962,4
36.4375,44.1543,1
36.4495,43.3518,34
36.4734,44.8412,2
36.4756,42.977,15
36.4774,42.5107,0
36.478,41.6124,22
36.4911,43.1203,2
36.4976,43.6049,1
36.4989,44.9226,0
36.5,42.5,200
36.5077,42.8415,137
36.5085,43.1807,296
36.5167,42.7333,23
36.5291,44.3008,0
36.5354,44.1761,2
36.5377,43.1227,0
36.5459,43.0245,0
36.5487,44.2837,1
36.5656,44.2011,0
36.5667,43.3833,0
36.5851,43.8497,0
36.5888,43.1304,0
36.5907,44.181,6
36.5908,44.7938,3
36.5933,42.1631,138
36.5992,42.5942,8
36.6165,44.5301,2
36.6284,44.1856,18
36.6471,43.5698,0
36.6612,43.6007,1
36.6624,43.9978,2
36.6676,43.4269,1
36.672,43.977,0
36.6747,45.0461,2
36.6927,43.9203,1
36.6975,43.2204,0
36.7,43.3,0
36.7166,43.2928,11
36.7304,42.3906,0
36.7342,43.0967,8
36.7427,42.8224,7
36.7624,42.0658,9
36.7666,43.2549,0
36.7667,42.6333,2
36.7717,43.3031,0
36.788,42.6413,5
36.7897,44.0384,1
36.7923,43.2087,2
36.7968,44.6721,1
36.8001,44.2437,0
36.8035,43.6848,8
36.8077,43.6539,0
36.8115,42.999,1
36.8299,44.6119,2
36.8339,43.1137,1
36.8381,43.3358,1
36.8558,44.1313,9
36.8589,42.4908,0
36.8671,42.9884,106
36.8712,42.185,1
36.8722,43.3747,0
36.8845,42.3649,3
36.9125,42.8808,0
36.9283,42.8474,0
36.9293,42.3321,1
36.9336,42.3601,4
36.9408,44.4367,0
36.9419,42.6765,0
36.9641,44.4068,4
36.9833,44.5667,1
36.9964,43.8496,14
37,43.25,5
37.0165,43.819,0
37.0234,44.0633,12
37.0339,43.558,1
37.0527,42.626,2
37.0601,42.6129,1
37.075,42.3801,1
37.0908,42.9807,6
37.0921,43.4877,15
37.1167,42.35,0
37.1399,42.5702,7
37.148,42.7036,10
37.15,42.8333,1
37.1514,43.6332,0
37.1727,43.7481,1
37.19,43.184,1
37.1917,43.3354,0
37.1928,44.2722,1
37.1942,43.3552,0
37.2103,42.7931,1
37.2227,43.0497,0
37.2562,43.9595,0
37.2591,43.0942,3
37.261,44.1584,23
37.2793,43.3568,1
37.2878,44.0336,0
37.3537,42.7792,1
